Stock,Prediction
600000,0.23351717
600004,0.12941256
600007,-0.16384153
600010,-0.5431595
600011,0.23358026
600015,0.27151266
600016,0.2612743
600017,-0.0863348
600018,0.36031166
600019,0.27151266
600020,0.20826909
600021,0.10391345
600022,-0.3642505
600023,0.27157775
600025,0.35141414
600026,0.04932704
600028,0.3398126
600029,0.109780215
600031,0.070300125
600033,0.050359808
600035,0.050359808
600036,-0.17744416
600048,0.13024697
600050,0.2896752
600054,0.03109827
600056,0.15175918
600057,0.051724277
600058,0.14162621
600059,0.1453692
600060,0.024331803
600061,0.16710016
600062,0.024331803
600064,0.14409861
600067,-0.41782996
600073,-0.13185409
600076,-1.3417817
600082,-1.1494261
600085,-0.170203
600088,-0.1949473
600089,0.14162621
600094,-0.15898222
600096,-0.17393126
600097,0.16183135
600098,0.28397992
600099,-0.902238
600100,0.14710203
600101,-0.78004646
600103,-0.85807455
600104,0.23351717
600105,-0.3927578
600106,-0.3953428
600107,-0.31772062
600108,-0.36413303
600111,-0.17393126
600113,0.1453692
600114,-0.7539377
600115,-0.080296494
600118,-0.170203
600120,-0.08211277
600121,-0.45034626
600123,0.14162621
600125,-0.13721585
600126,0.2896752
600127,-0.37142596
600128,-0.3777044
600129,-0.65379137
600130,-1.0698355
600131,0.024331803
600132,-0.29040328
600133,-0.5070634
600135,-0.09515736
600137,-0.03610567
600138,-0.53658175
600141,-0.12748685
600143,0.28397992
600148,-1.1450893
600151,-0.5475696
600152,-0.1553447
600153,0.16709134
600155,-0.76984775
600156,-1.035162
600159,-1.0648633
600161,0.024331803
600162,-0.5948453
600163,0.2896752
600166,-0.50954825
600168,0.221894
600169,-0.15336016
600170,-0.6380889
600171,-1.0074638
600173,0.050359808
600177,0.27151266
600178,-0.51326454
600180,0.221894
600183,0.024331803
600184,0.14162621
600187,-1.2104125
600188,-0.13118443
600189,-0.018535173
600192,-0.5934095
600195,0.12022998
600196,-0.007905996
600197,-0.24721159
600199,-1.0962303
600200,0.12891981
600201,0.14490822
600202,-0.3778133
600203,-0.70760715
600206,0.09226366
600207,-0.07744519
600208,0.14116883
600210,-0.13721585
600211,-0.33827987
600216,-0.13770166
600218,0.12022998
600219,0.2896752
600223,0.14162621
600227,-1.3254381
600229,0.14162621
600230,0.10251733
600231,-0.31997058
600232,0.27002117
600233,0.23351717
600235,-0.49340424
600236,0.35276768
600237,-0.27677974
600249,-0.60799056
600251,0.17107901
600252,-0.076112606
600256,0.17776015
600257,-0.43790206
600258,-0.060849108
600259,-0.17393126
600261,0.07868805
600262,-0.50398856
600266,-0.55186415
600268,-0.15712413
600269,0.28162298
600271,0.14162621
600272,-0.7003333
600273,0.1237677
600276,-0.16384153
600279,0.2896752
600281,-0.08942173
600285,-0.29550073
600288,-0.41402528
600293,-0.36413303
600295,0.23607382
600298,-0.30827972
600299,0.23351717
600302,-0.34613642
600305,0.14162621
600307,-0.9663296
600308,0.221894
600309,-0.16384153
600312,-0.12748685
600313,-0.16228792
600315,0.070300125
600316,-0.17393126
600320,-0.13689288
600322,-0.6927809
600323,0.024331803
600325,-0.76067543
600326,-0.48505142
600327,0.050359808
600328,0.16498575
600330,0.073493205
600332,-0.011081911
600333,-0.10801432
600335,0.1237677
600336,-0.64397633
600337,-1.1897804
600338,-0.5364164
600339,0.17847988
600343,0.13335982
600346,0.23351717
600348,0.14162621
600350,0.23351717
600351,-0.25101754
600352,0.14162621
600353,-0.13721585
600355,-1.1791242
600359,-0.62182784
600362,0.0794613
600363,-0.64003944
600366,0.14710203
600367,0.12053379
600368,0.050359808
600369,-0.15898246
600371,-0.00156132
600376,-1.0249506
600377,0.053069554
600379,-0.26768294
600380,0.14162621
600383,-0.017946994
600386,-0.087805666
600390,0.27198604
600391,-0.23544782
600392,0.16801289
600395,0.2896752
600397,-0.9201974
600398,0.071851514
600400,-0.17304716
600405,-0.1747528
600406,-0.16384153
600409,0.09144672
600410,-0.13206944
600415,0.14162621
600418,-0.65249175
600420,0.14162621
600425,-0.48067448
600426,-0.09083981
600428,0.1237677
600429,0.19485363
600435,0.16803023
600436,-0.16384153
600438,0.024331803
600439,-1.316176
600444,-0.9749124
600448,-0.99430424
600452,0.14452901
600456,-0.33191624
600458,0.14162621
600467,-1.3360456
600468,-0.08211277
600469,0.06444218
600475,0.23351717
600476,-0.9749124
600477,-0.36493728
600478,0.050359808
600480,0.17026934
600481,-0.007090485
600483,0.070300125
600487,-0.07048831
600489,0.09064319
600490,-1.1023049
600493,-0.18288997
600495,0.055169903
600496,-0.45492312
600497,-0.13721585
600498,-0.07576231
