Stkcd,Trdmnt,Opndt,Mopnprc,Clsdt,Mclsprc,Ndaytrd,Mretwd,Mretwd_scaled
600000,20-Jan,2,12.47,23,11.35,16,-0.082458,-0.741422
600000,20-Feb,3,10.22,28,10.85,20,-0.044053,-0.229286
600000,20-Mar,2,10.95,31,10.15,22,-0.064516,-0.268658
600000,20-Apr,1,10.11,30,10.63,21,0.047291,0.099999
600000,20-May,6,10.44,29,10.57,18,-0.005644,-0.309629
600000,20-Jun,1,10.63,30,10.58,20,0.000946,-0.501618
600000,20-Jul,1,10.59,31,10.36,23,0.033405,-0.551688
600000,20-Aug,3,10.4,31,10.36,21,0,-0.240076
600000,20-Sep,1,10.31,30,9.39,22,-0.093629,-0.231894
600000,20-Oct,9,9.44,30,9.26,16,-0.013845,-0.079115
600000,20-Nov,2,9.28,30,10.06,21,0.086393,0.364143
600000,20-Dec,1,10.08,31,9.68,23,-0.037773,-0.186013
600000,21-Jan,4,9.64,29,9.96,20,0.028926,0.63597
600000,21-Feb,1,9.94,26,10.54,15,0.058233,0.25753
600000,21-Mar,1,10.59,31,10.99,23,0.042694,0.186031
600000,21-Apr,1,10.99,30,10.05,21,-0.085532,-0.812069
600000,21-May,6,9.97,31,10.27,18,0.021891,-0.318837
600000,21-Jun,1,10.23,30,10,21,-0.02629,-0.361426
600000,21-Jul,1,10.01,30,9.03,22,-0.051614,-0.254027
600000,21-Aug,2,9.03,31,9.05,22,0.002215,-0.467658
600000,21-Sep,1,9.03,30,9,20,-0.005525,-0.035215
600000,21-Oct,8,9.05,29,8.94,16,-0.006667,0.166682
600000,21-Nov,1,8.69,30,8.51,22,-0.048098,-0.809554
600000,21-Dec,1,8.53,31,8.53,23,0.00235,-0.355038
600000,22-Jan,4,8.54,28,8.41,19,-0.014068,0.741394
600000,22-Feb,7,8.48,28,8.39,16,-0.002378,-0.5361
600000,22-Mar,1,8.39,31,8,23,-0.046484,-0.044357
600000,22-Apr,1,7.95,29,8.03,19,0.00375,0.984356
600000,22-May,5,8.03,31,7.94,19,-0.011208,-1.068814
600000,22-Jun,1,7.94,30,8.01,21,0.008816,-0.486741
